"Notes"	"Year"	"YearCode"	"State"	"StateCode"	Births	TotalPopulation	BirthRate
"Total"	"2010"	"2010"			3999386	308745538	12.95
	"2011"	"2011"	"Alabama"	"01"	59354	4802740	12.36
	"2011"	"2011"	"Alaska"	"02"	11456	722718	15.85
	"2011"	"2011"	"Arizona"	"04"	85543	6482505	13.20
	"2011"	"2011"	"Arkansas"	"05"	38715	2937979	13.18
	"2011"	"2011"	"California"	"06"	502120	37691912	13.32
	"2011"	"2011"	"Colorado"	"08"	65055	5116796	12.71
	"2011"	"2011"	"Connecticut"	"09"	37281	3580709	10.41
	"2011"	"2011"	"Delaware"	"10"	11257	907135	12.41
	"2011"	"2011"	"District of Columbia"	"11"	9295	617996	15.04
	"2011"	"2011"	"Florida"	"12"	213414	19057542	11.20
	"2011"	"2011"	"Georgia"	"13"	132409	9815210	13.49
	"2011"	"2011"	"Hawaii"	"15"	18956	1374810	13.79
	"2011"	"2011"	"Idaho"	"16"	22305	1584985	14.07
	"2011"	"2011"	"Illinois"	"17"	161312	12869257	12.53
	"2011"	"2011"	"Indiana"	"18"	83701	6516922	12.84
	"2011"	"2011"	"Iowa"	"19"	38214	3062309	12.48
	"2011"	"2011"	"Kansas"	"20"	39642	2871238	13.81
	"2011"	"2011"	"Kentucky"	"21"	55370	4369356	12.67
	"2011"	"2011"	"Louisiana"	"22"	61888	4574836	13.53
	"2011"	"2011"	"Maine"	"23"	12704	1328188	9.56
	"2011"	"2011"	"Maryland"	"24"	73093	5828289	12.54
	"2011"	"2011"	"Massachusetts"	"25"	73166	6587536	11.11
	"2011"	"2011"	"Michigan"	"26"	114008	9876187	11.54
	"2011"	"2011"	"Minnesota"	"27"	68409	5344861	12.80
	"2011"	"2011"	"Mississippi"	"28"	39860	2978512	13.38
	"2011"	"2011"	"Missouri"	"29"	76117	6010688	12.66
	"2011"	"2011"	"Montana"	"30"	12069	998199	12.09
	"2011"	"2011"	"Nebraska"	"31"	25720	1842641	13.96
	"2011"	"2011"	"Nevada"	"32"	35296	2723322	12.96
	"2011"	"2011"	"New Hampshire"	"33"	12851	1318194	9.75
	"2011"	"2011"	"New Jersey"	"34"	105883	8821155	12.00
	"2011"	"2011"	"New Mexico"	"35"	27289	2082224	13.11
	"2011"	"2011"	"New York"	"36"	241312	19465197	12.40
	"2011"	"2011"	"North Carolina"	"37"	120389	9656401	12.47
	"2011"	"2011"	"North Dakota"	"38"	9527	683932	13.93
	"2011"	"2011"	"Ohio"	"39"	137918	11544951	11.95
	"2011"	"2011"	"Oklahoma"	"40"	52272	3791508	13.79
	"2011"	"2011"	"Oregon"	"41"	45155	3871859	11.66
	"2011"	"2011"	"Pennsylvania"	"42"	143178	12742886	11.24
	"2011"	"2011"	"Rhode Island"	"44"	10960	1051302	10.43
	"2011"	"2011"	"South Carolina"	"45"	57393	4679230	12.27
	"2011"	"2011"	"South Dakota"	"46"	11846	824082	14.37
	"2011"	"2011"	"Tennessee"	"47"	79588	6403353	12.43
	"2011"	"2011"	"Texas"	"48"	377445	25674681	14.70
	"2011"	"2011"	"Utah"	"49"	51223	2817222	18.18
	"2011"	"2011"	"Vermont"	"50"	6078	626431	9.70
	"2011"	"2011"	"Virginia"	"51"	102652	8096604	12.68
	"2011"	"2011"	"Washington"	"53"	86976	6830038	12.73
	"2011"	"2011"	"West Virginia"	"54"	20717	1855364	11.17
	"2011"	"2011"	"Wisconsin"	"55"	67810	5711767	11.87
	"2011"	"2011"	"Wyoming"	"56"	7399	568158	13.02
"Total"	"2011"	"2011"			3953590	311591917	12.69
	"2012"	"2012"	"Alabama"	"01"	58448	4822023	12.12
	"2012"	"2012"	"Alaska"	"02"	11187	731449	15.29
	"2012"	"2012"	"Arizona"	"04"	86441	6553255	13.19
	"2012"	"2012"	"Arkansas"	"05"	38347	2949131	13.00
	"2012"	"2012"	"California"	"06"	503755	38041430	13.24
	"2012"	"2012"	"Colorado"	"08"	65187	5187582	12.57
	"2012"	"2012"	"Connecticut"	"09"	36539	3590347	10.18
	"2012"	"2012"	"Delaware"	"10"	11023	917092	12.02
	"2012"	"2012"	"District of Columbia"	"11"	9399	632323	14.86
	"2012"	"2012"	"Florida"	"12"	213148	19317568	11.03
	"2012"	"2012"	"Georgia"	"13"	130280	9919945	13.13
	"2012"	"2012"	"Hawaii"	"15"	18980	1392313	13.63
	"2012"	"2012"	"Idaho"	"16"	22963	1595728	14.39
	"2012"	"2012"	"Illinois"	"17"	159160	12875255	12.36
	"2012"	"2012"	"Indiana"	"18"	83227	6537334	12.73
	"2012"	"2012"	"Iowa"	"19"	38702	3074186	12.59
	"2012"	"2012"	"Kansas"	"20"	40341	2885905	13.98
	"2012"	"2012"	"Kentucky"	"21"	55758	4380415	12.73
	"2012"	"2012"	"Louisiana"	"22"	62642	4601893	13.61
	"2012"	"2012"	"Maine"	"23"	12798	1329192	9.63
	"2012"	"2012"	"Maryland"	"24"	72883	5884563	12.39
	"2012"	"2012"	"Massachusetts"	"25"	72439	6646144	10.90
	"2012"	"2012"	"Michigan"	"26"	113091	9883360	11.44
	"2012"	"2012"	"Minnesota"	"27"	68772	5379139	12.78
	"2012"	"2012"	"Mississippi"	"28"	38669	2984926	12.95
	"2012"	"2012"	"Missouri"	"29"	75446	6021988	12.53
	"2012"	"2012"	"Montana"	"30"	12118	1005141	12.06
	"2012"	"2012"	"Nebraska"	"31"	25942	1855525	13.98
	"2012"	"2012"	"Nevada"	"32"	34911	2758931	12.65
	"2012"	"2012"	"New Hampshire"	"33"	12352	1320718	9.35
	"2012"	"2012"	"New Jersey"	"34"	104230	8864590	11.76
	"2012"	"2012"	"New Mexico"	"35"	27068	2085538	12.98
	"2012"	"2012"	"New York"	"36"	240916	19570261	12.31
	"2012"	"2012"	"North Carolina"	"37"	119831	9752073	12.29
	"2012"	"2012"	"North Dakota"	"38"	10106	699628	14.44
	"2012"	"2012"	"Ohio"	"39"	138483	11544225	12.00
	"2012"	"2012"	"Oklahoma"	"40"	52751	3814820	13.83
	"2012"	"2012"	"Oregon"	"41"	45067	3899353	11.56
	"2012"	"2012"	"Pennsylvania"	"42"	142514	12763536	11.17
	"2012"	"2012"	"Rhode Island"	"44"	10926	1050292	10.40
	"2012"	"2012"	"South Carolina"	"45"	57155	4723723	12.10
	"2012"	"2012"	"South Dakota"	"46"	12104	833354	14.52
	"2012"	"2012"	"Tennessee"	"47"	80371	6456243	12.45
	"2012"	"2012"	"Texas"	"48"	382727	26059203	14.69
	"2012"	"2012"	"Utah"	"49"	51465	2855287	18.02
	"2012"	"2012"	"Vermont"	"50"	6009	626011	9.60
	"2012"	"2012"	"Virginia"	"51"	103013	8185867	12.58
	"2012"	"2012"	"Washington"	"53"	87463	6897012	12.68
	"2012"	"2012"	"West Virginia"	"54"	20827	1855413	11.22
	"2012"	"2012"	"Wisconsin"	"55"	67295	5726398	11.75
	"2012"	"2012"	"Wyoming"	"56"	7572	576412	13.14
"Total"	"2012"	"2012"			3952841	313914040	12.59
	"2013"	"2013"	"Alabama"	"01"	58167	4833722	12.03
	"2013"	"2013"	"Alaska"	"02"	11446	735132	15.57
	"2013"	"2013"	"Arizona"	"04"	85600	6626624	12.92
	"2013"	"2013"	"Arkansas"	"05"	37832	2959373	12.78
	"2013"	"2013"	"California"	"06"	494705	38332521	12.91
	"2013"	"2013"	"Colorado"	"08"	65007	5268367	12.34
	"2013"	"2013"	"Connecticut"	"09"	36085	3596080	10.03
	"2013"	"2013"	"Delaware"	"10"	10831	925749	11.70
	"2013"	"2013"	"District of Columbia"	"11"	9288	646449	14.37
	"2013"	"2013"	"Florida"	"12"	215407	19552860	11.02
	"2013"	"2013"	"Georgia"	"13"	128748	9992167	12.88
	"2013"	"2013"	"Hawaii"	"15"	18987	1404054	13.52
	"2013"	"2013"	"Idaho"	"16"	22383	1612136	13.88
	"2013"	"2013"	"Illinois"	"17"	156931	12882135	12.18
	"2013"	"2013"	"Indiana"	"18"	83102	6570902	12.65
	"2013"	"2013"	"Iowa"	"19"	39094	3090416	12.65
	"2013"	"2013"	"Kansas"	"20"	38839	2893957	13.42
	"2013"	"2013"	"Kentucky"	"21"	55686	4395295	12.67
	"2013"	"2013"	"Louisiana"	"22"	63201	4625470	13.66
	"2013"	"2013"	"Maine"	"23"	12776	1328302	9.62
	"2013"	"2013"	"Maryland"	"24"	71953	5928814	12.14
	"2013"	"2013"	"Massachusetts"	"25"	71788	6692824	10.73
	"2013"	"2013"	"Michigan"	"26"	113489	9895622	11.47
	"2013"	"2013"	"Minnesota"	"27"	69159	5420380	12.76
	"2013"	"2013"	"Mississippi"	"28"	38634	2991207	12.92
	"2013"	"2013"	"Missouri"	"29"	75296	6044171	12.46
	"2013"	"2013"	"Montana"	"30"	12377	1015165	12.19
	"2013"	"2013"	"Nebraska"	"31"	26095	1868516	13.97
	"2013"	"2013"	"Nevada"	"32"	35030	2790136	12.55
	"2013"	"2013"	"New Hampshire"	"33"	12396	1323459	9.37
	"2013"	"2013"	"New Jersey"	"34"	102575	8899339	11.53
	"2013"	"2013"	"New Mexico"	"35"	26354	2085287	12.64
	"2013"	"2013"	"New York"	"36"	236980	19651127	12.06
	"2013"	"2013"	"North Carolina"	"37"	119002	9848060	12.08
	"2013"	"2013"	"North Dakota"	"38"	10599	723393	14.65
	"2013"	"2013"	"Ohio"	"39"	138936	11570808	12.01
	"2013"	"2013"	"Oklahoma"	"40"	53369	3850568	13.86
	"2013"	"2013"	"Oregon"	"41"	45155	3930065	11.49
	"2013"	"2013"	"Pennsylvania"	"42"	140921	12773801	11.03
	"2013"	"2013"	"Rhode Island"	"44"	10809	1051511	10.28
	"2013"	"2013"	"South Carolina"	"45"	56795	4774839	11.89
	"2013"	"2013"	"South Dakota"	"46"	12248	844877	14.50
	"2013"	"2013"	"Tennessee"	"47"	79992	6495978	12.31
	"2013"	"2013"	"Texas"	"48"	387340	26448193	14.65
	"2013"	"2013"	"Utah"	"49"	50957	2900872	17.57
	"2013"	"2013"	"Vermont"	"50"	5975	626630	9.54
	"2013"	"2013"	"Virginia"	"51"	102147	8260405	12.37
	"2013"	"2013"	"Washington"	"53"	86577	6971406	12.42
	"2013"	"2013"	"West Virginia"	"54"	20825	1854304	11.23
	"2013"	"2013"	"Wisconsin"	"55"	66649	5742713	11.61
	"2013"	"2013"	"Wyoming"	"56"	7644	582658	13.12
"Total"	"2013"	"2013"			3932181	316128839	12.44
	"2014"	"2014"	"Alabama"	"01"	59422	4849377	12.25
	"2014"	"2014"	"Alaska"	"02"	11392	736732	15.46
	"2014"	"2014"	"Arizona"	"04"	86887	6731484	12.91
	"2014"	"2014"	"Arkansas"	"05"	38511	2966369	12.98
	"2014"	"2014"	"California"	"06"	502879	38802500	12.96
	"2014"	"2014"	"Colorado"	"08"	65830	5355866	12.29
	"2014"	"2014"	"Connecticut"	"09"	36285	3596677	10.09
	"2014"	"2014"	"Delaware"	"10"	10972	935614	11.73
	"2014"	"2014"	"District of Columbia"	"11"	9509	658893	14.43
	"2014"	"2014"	"Florida"	"12"	219991	19893297	11.06
	"2014"	"2014"	"Georgia"	"13"	130946	10097343	12.97
	"2014"	"2014"	"Hawaii"	"15"	18550	1419561	13.07
	"2014"	"2014"	"Idaho"	"16"	22876	1634464	14.00
	"2014"	"2014"	"Illinois"	"17"	158556	12880580	12.31
	"2014"	"2014"	"Indiana"	"18"	84080	6596855	12.75
	"2014"	"2014"	"Iowa"	"19"	39687	3107126	12.77
	"2014"	"2014"	"Kansas"	"20"	39223	2904021	13.51
	"2014"	"2014"	"Kentucky"	"21"	56170	4413457	12.73
	"2014"	"2014"	"Louisiana"	"22"	64497	4649676	13.87
	"2014"	"2014"	"Maine"	"23"	12698	1330089	9.55
	"2014"	"2014"	"Maryland"	"24"	73921	5976407	12.37
	"2014"	"2014"	"Massachusetts"	"25"	71908	6745408	10.66
	"2014"	"2014"	"Michigan"	"26"	114375	9909877	11.54
	"2014"	"2014"	"Minnesota"	"27"	69904	5457173	12.81
	"2014"	"2014"	"Mississippi"	"28"	38736	2994079	12.94
	"2014"	"2014"	"Missouri"	"29"	75360	6063589	12.43
	"2014"	"2014"	"Montana"	"30"	12432	1023579	12.15
	"2014"	"2014"	"Nebraska"	"31"	26794	1881503	14.24
	"2014"	"2014"	"Nevada"	"32"	35861	2839099	12.63
	"2014"	"2014"	"New Hampshire"	"33"	12302	1326813	9.27
	"2014"	"2014"	"New Jersey"	"34"	103305	8938175	11.56
	"2014"	"2014"	"New Mexico"	"35"	26052	2085572	12.49
	"2014"	"2014"	"New York"	"36"	238773	19746227	12.09
	"2014"	"2014"	"North Carolina"	"37"	120975	9943964	12.17
	"2014"	"2014"	"North Dakota"	"38"	11359	739482	15.36
	"2014"	"2014"	"Ohio"	"39"	139467	11594163	12.03
	"2014"	"2014"	"Oklahoma"	"40"	53339	3878051	13.75
	"2014"	"2014"	"Oregon"	"41"	45556	3970239	11.47
	"2014"	"2014"	"Pennsylvania"	"42"	142268	12787209	11.13
	"2014"	"2014"	"Rhode Island"	"44"	10823	1055173	10.26
	"2014"	"2014"	"South Carolina"	"45"	57627	4832482	11.92
	"2014"	"2014"	"South Dakota"	"46"	12283	853175	14.40
	"2014"	"2014"	"Tennessee"	"47"	81602	6549352	12.46
	"2014"	"2014"	"Texas"	"48"	399766	26956958	14.83
	"2014"	"2014"	"Utah"	"49"	51154	2942902	17.38
	"2014"	"2014"	"Vermont"	"50"	6130	626562	9.78
	"2014"	"2014"	"Virginia"	"51"	103300	8326289	12.41
	"2014"	"2014"	"Washington"	"53"	88585	7061530	12.54
	"2014"	"2014"	"West Virginia"	"54"	20301	1850326	10.97
	"2014"	"2014"	"Wisconsin"	"55"	67161	5757564	11.66
	"2014"	"2014"	"Wyoming"	"56"	7696	584153	13.17
"Total"	"2014"	"2014"			3988076	318857056	12.51
	"2015"	"2015"	"Alabama"	"01"	59657	4858979	12.28
	"2015"	"2015"	"Alaska"	"02"	11282	738432	15.28
	"2015"	"2015"	"Arizona"	"04"	85351	6828065	12.50
	"2015"	"2015"	"Arkansas"	"05"	38886	2978204	13.06
	"2015"	"2015"	"California"	"06"	491748	39144818	12.56
	"2015"	"2015"	"Colorado"	"08"	66581	5456574	12.20
	"2015"	"2015"	"Connecticut"	"09"	35746	3590886	9.95
	"2015"	"2015"	"Delaware"	"10"	11166	945934	11.80
	"2015"	"2015"	"District of Columbia"	"11"	9578	672228	14.25
	"2015"	"2015"	"Florida"	"12"	224269	20271272	11.06
	"2015"	"2015"	"Georgia"	"13"	131404	10214860	12.86
	"2015"	"2015"	"Hawaii"	"15"	18420	1431603	12.87
	"2015"	"2015"	"Idaho"	"16"	22827	1654930	13.79
	"2015"	"2015"	"Illinois"	"17"	158116	12859995	12.30
	"2015"	"2015"	"Indiana"	"18"	84040	6619680	12.70
	"2015"	"2015"	"Iowa"	"19"	39482	3123899	12.64
	"2015"	"2015"	"Kansas"	"20"	39154	2911641	13.45
	"2015"	"2015"	"Kentucky"	"21"	55971	4425092	12.65
	"2015"	"2015"	"Louisiana"	"22"	64692	4670724	13.85
	"2015"	"2015"	"Maine"	"23"	12607	1329328	9.48
	"2015"	"2015"	"Maryland"	"24"	73616	6006401	12.26
	"2015"	"2015"	"Massachusetts"	"25"	71492	6794422	10.52
	"2015"	"2015"	"Michigan"	"26"	113312	9922576	11.42
	"2015"	"2015"	"Minnesota"	"27"	69834	5489594	12.72
	"2015"	"2015"	"Mississippi"	"28"	38394	2992333	12.83
	"2015"	"2015"	"Missouri"	"29"	75061	6083672	12.34
	"2015"	"2015"	"Montana"	"30"	12583	1032949	12.18
	"2015"	"2015"	"Nebraska"	"31"	26679	1896190	14.07
	"2015"	"2015"	"Nevada"	"32"	36298	2890845	12.56
	"2015"	"2015"	"New Hampshire"	"33"	12433	1330608	9.34
	"2015"	"2015"	"New Jersey"	"34"	103127	8958013	11.51
	"2015"	"2015"	"New Mexico"	"35"	25816	2085109	12.38
	"2015"	"2015"	"New York"	"36"	237274	19795791	11.99
	"2015"	"2015"	"North Carolina"	"37"	120843	10042802	12.03
	"2015"	"2015"	"North Dakota"	"38"	11314	756927	14.95
	"2015"	"2015"	"Ohio"	"39"	139264	11613423	11.99
	"2015"	"2015"	"Oklahoma"	"40"	53122	3911338	13.58
	"2015"	"2015"	"Oregon"	"41"	45655	4028977	11.33
	"2015"	"2015"	"Pennsylvania"	"42"	141047	12802503	11.02
	"2015"	"2015"	"Rhode Island"	"44"	10993	1056298	10.41
	"2015"	"2015"	"South Carolina"	"45"	58139	4896146	11.87
	"2015"	"2015"	"South Dakota"	"46"	12336	858469	14.37
	"2015"	"2015"	"Tennessee"	"47"	81685	6600299	12.38
	"2015"	"2015"	"Texas"	"48"	403618	27469114	14.69
	"2015"	"2015"	"Utah"	"49"	50778	2995919	16.95
	"2015"	"2015"	"Vermont"	"50"	5903	626042	9.43
	"2015"	"2015"	"Virginia"	"51"	103303	8382993	12.32
	"2015"	"2015"	"Washington"	"53"	88990	7170351	12.41
	"2015"	"2015"	"West Virginia"	"54"	19805	1844128	10.74
	"2015"	"2015"	"Wisconsin"	"55"	67041	5771337	11.62
	"2015"	"2015"	"Wyoming"	"56"	7765	586107	13.25
"Total"	"2015"	"2015"			3978497	321418820	12.38
	"2016"	"2016"	"Alabama"	"01"	59151	4863300	12.16
	"2016"	"2016"	"Alaska"	"02"	11209	741894	15.11
	"2016"	"2016"	"Arizona"	"04"	84520	6931071	12.19
	"2016"	"2016"	"Arkansas"	"05"	38274	2988248	12.81
	"2016"	"2016"	"California"	"06"	488827	39250017	12.45
	"2016"	"2016"	"Colorado"	"08"	66613	5540545	12.02
	"2016"	"2016"	"Connecticut"	"09"	36015	3576452	10.07
	"2016"	"2016"	"Delaware"	"10"	10992	952065	11.55
	"2016"	"2016"	"District of Columbia"	"11"	9858	681170	14.47
	"2016"	"2016"	"Florida"	"12"	225022	20612439	10.92
	"2016"	"2016"	"Georgia"	"13"	130042	10310371	12.61
	"2016"	"2016"	"Hawaii"	"15"	18059	1428557	12.64
	"2016"	"2016"	"Idaho"	"16"	22482	1683140	13.36
	"2016"	"2016"	"Illinois"	"17"	154445	12801539	12.06
	"2016"	"2016"	"Indiana"	"18"	83091	6633053	12.53
	"2016"	"2016"	"Iowa"	"19"	39403	3134693	12.57
	"2016"	"2016"	"Kansas"	"20"	38053	2907289	13.09
	"2016"	"2016"	"Kentucky"	"21"	55449	4436974	12.50
	"2016"	"2016"	"Louisiana"	"22"	63178	4681666	13.49
	"2016"	"2016"	"Maine"	"23"	12705	1331479	9.54
	"2016"	"2016"	"Maryland"	"24"	73136	6016447	12.16
	"2016"	"2016"	"Massachusetts"	"25"	71317	6811779	10.47
	"2016"	"2016"	"Michigan"	"26"	113315	9928300	11.41
	"2016"	"2016"	"Minnesota"	"27"	69749	5519952	12.64
	"2016"	"2016"	"Mississippi"	"28"	37928	2988726	12.69
	"2016"	"2016"	"Missouri"	"29"	74705	6093000	12.26
	"2016"	"2016"	"Montana"	"30"	12282	1042520	11.78
	"2016"	"2016"	"Nebraska"	"31"	26589	1907116	13.94
	"2016"	"2016"	"Nevada"	"32"	36260	2940058	12.33
	"2016"	"2016"	"New Hampshire"	"33"	12267	1334795	9.19
	"2016"	"2016"	"New Jersey"	"34"	102647	8944469	11.48
	"2016"	"2016"	"New Mexico"	"35"	24692	2081015	11.87
	"2016"	"2016"	"New York"	"36"	234283	19745289	11.87
	"2016"	"2016"	"North Carolina"	"37"	120779	10146788	11.90
	"2016"	"2016"	"North Dakota"	"38"	11383	757952	15.02
	"2016"	"2016"	"Ohio"	"39"	138085	11614373	11.89
	"2016"	"2016"	"Oklahoma"	"40"	52592	3923561	13.40
	"2016"	"2016"	"Oregon"	"41"	45535	4093465	11.12
	"2016"	"2016"	"Pennsylvania"	"42"	139409	12784227	10.90
	"2016"	"2016"	"Rhode Island"	"44"	10798	1056426	10.22
	"2016"	"2016"	"South Carolina"	"45"	57342	4961119	11.56
	"2016"	"2016"	"South Dakota"	"46"	12275	865454	14.18
	"2016"	"2016"	"Tennessee"	"47"	80807	6651194	12.15
	"2016"	"2016"	"Texas"	"48"	398047	27862596	14.29
	"2016"	"2016"	"Utah"	"49"	50464	3051217	16.54
	"2016"	"2016"	"Vermont"	"50"	5756	624594	9.22
	"2016"	"2016"	"Virginia"	"51"	102460	8411808	12.18
	"2016"	"2016"	"Washington"	"53"	90505	7288000	12.42
	"2016"	"2016"	"West Virginia"	"54"	19079	1831102	10.42
	"2016"	"2016"	"Wisconsin"	"55"	66615	5778708	11.53
	"2016"	"2016"	"Wyoming"	"56"	7386	585501	12.61
"Total"	"2016"	"2016"			3945875	323127513	12.21
	"2017"	"2017"	"Alabama"	"01"	58941	4874747	12.09
	"2017"	"2017"	"Alaska"	"02"	10445	739795	14.12
	"2017"	"2017"	"Arizona"	"04"	81872	7016270	11.67
